Documento|Fecha|Departamento|Municipio|Dia|Hora|Sitio|Agresor|Victima|Edad|Pais_nacimiento|Clase_empleado|Profesion|Escolaridad|Codigo_DANE
1425809670|25/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|18:30:00|VIAS PUBLICAS|A PIE|A PIE|36|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809671|25/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|19:30:00|BUS TRANSMILENIO|PASAJERO BUS|PASAJERO BUS|25|COLOMBIA|EMPLEADO PARTICULAR|ESPECIALIZACION EN CONTROL ELECTRONICO DE PROCESOS INDUSTRIALES|SUPERIOR|11001000
1425809672|25/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|11:00:00|ESTABLECIMIENTO DE COMERCIO|A PIE|A PIE|-|COLOMBIA|NO REPORTA|-|-|11001000
1425809673|25/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|7:00:00|ZONA DE PARQUEO|BICICLETA|BICICLETA|37|COLOMBIA|EMPLEADO PARTICULAR|MEDICINA|SUPERIOR|11001000
1425809674|25/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|10:30:00|VIAS PUBLICAS|A PIE|A PIE|37|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809675|25/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|7:30:00|SECTOR RESIDENCIAS|CONDUCTOR MOTOCICLETA|A PIE|24|COLOMBIA|EMPLEADO PARTICULAR|PUBLICIDAD Y MERCADEO|SUPERIOR|11001000
1425809676|25/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|13:00:00|VIAS PUBLICAS|A PIE|A PIE|53|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809677|25/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|13:00:00|VIAS PUBLICAS|A PIE|A PIE|-|COLOMBIA|NO REPORTA|-|-|11001000
1425809678|25/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|5:00:00|BUS TRANSMILENIO|A PIE|PASAJERO BUS|49|COLOMBIA|EMPLEADO PARTICULAR|ADMINISTRACION  DE EMPRESAS TURISTICAS Y HOTELERAS|SUPERIOR|11001000
1425809679|25/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|21:30:00|VIAS PUBLICAS|A PIE|A PIE|46|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|PRIMARIA|11001000
1425809680|25/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|9:30:00|VIAS PUBLICAS|A PIE|A PIE|20|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809681|25/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|0:00:00|VIAS PUBLICAS|A PIE|A PIE|43|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|PRIMARIA|11001000
1425809682|25/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|0:00:00|OTRO|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809683|25/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|15:30:00|VIAS PUBLICAS|A PIE|A PIE|60|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|PRIMARIA|11001000
1425809684|25/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|13:30:00|ESTABLECIMIENTO EDUCATIVO|CONDUCTOR MOTOCICLETA|A PIE|20|COLOMBIA|INDEPENDIENTE|MEDICINA|SUPERIOR|11001000
1425809685|25/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|7:45:00|VIAS PUBLICAS|A PIE|A PIE|20|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|TECNICO|11001000
1425809686|25/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|5:35:00|VIAS PUBLICAS|A PIE|A PIE|37|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|PRIMARIA|11001000
1425809687|25/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|15:25:00|VIAS PUBLICAS|A PIE|A PIE|-|COLOMBIA|NO REPORTA|-|-|11001000
1425809688|26/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|10:00:00|VIAS PUBLICAS|A PIE|A PIE|50|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809689|26/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|19:30:00|VIAS PUBLICAS|A PIE|A PIE|48|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809690|26/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|18:00:00|EDIFICIO|A PIE|A PIE|26|COLOMBIA|EMPLEADO PARTICULAR|TECNICO PROFESIONAL EN SISTEMAS|TECNICO|11001000
1425809691|26/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|6:30:00|VIAS PUBLICAS|A PIE|A PIE|29|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|TECNICO|11001000
1425809692|26/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|13:00:00|VIAS PUBLICAS|A PIE|A PIE|71|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809693|26/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|13:00:00|VIAS PUBLICAS|A PIE|A PIE|62|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|TECNICO|11001000
1425809694|26/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|0:00:00|VIAS PUBLICAS|A PIE|A PIE|47|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809695|26/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|0:00:00|EDIFICIO|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809696|26/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|0:00:00|EDIFICIO|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809697|26/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|15:30:00|VIAS PUBLICAS|A PIE|A PIE|57|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|PRIMARIA|11001000
1425809698|26/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|13:30:00|SUPERMERCADOS|A PIE|A PIE|31|COLOMBIA|EMPLEADO PARTICULAR|-|SECUNDARIA|11001000
1425809699|26/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|22:30:00|VIAS PUBLICAS|A PIE|A PIE|42|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809700|26/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|10:50:00|VIAS PUBLICAS|A PIE|A PIE|17|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809701|26/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|7:45:00|TRANSPORTE PUBLICO URBANO|A PIE|A PIE|47|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809702|26/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|22:45:00|VIAS PUBLICAS|A PIE|A PIE|27|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809703|26/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|23:40:00|VIAS PUBLICAS|A PIE|A PIE|18|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809704|26/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|11:12:00|VIAS PUBLICAS|A PIE|A PIE|53|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809705|26/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|16:41:00|VIAS PUBLICAS|A PIE|A PIE|39|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809706|26/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|9:22:00|VIAS PUBLICAS|A PIE|A PIE|36|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809707|27/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|20:00:00|VIAS PUBLICAS|A PIE|A PIE|47|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809708|27/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|20:00:00|VIAS PUBLICAS|A PIE|A PIE|35|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|TECNICO|11001000
1425809709|27/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|18:00:00|VIAS PUBLICAS|A PIE|A PIE|28|VENEZUELA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809710|27/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|2:00:00|VIAS PUBLICAS|A PIE|A PIE|34|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|TECNICO|11001000
1425809711|27/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|5:00:00|VIAS PUBLICAS|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809712|27/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|4:00:00|CALLEJÓN|CONDUCTOR VEHICULO|PASAJERO VEHICULO|23|COLOMBIA|EMPLEADO PARTICULAR|CONTADURIA PUBLICA|TECNOLOGO|11001000
1425809713|27/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|22:00:00|VIAS PUBLICAS|A PIE|A PIE|15|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809714|27/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|22:00:00|VIAS PUBLICAS|A PIE|A PIE|43|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809715|27/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|16:30:00|VIAS PUBLICAS|A PIE|A PIE|33|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|TECNICO|11001000
1425809716|27/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|0:00:00|VIAS PUBLICAS|A PIE|A PIE|32|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|PRIMARIA|11001000
1425809717|27/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|0:00:00|OTRO|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809718|27/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|0:00:00|OTRO|A PIE|A PIE|29|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809719|27/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|0:00:00|EDIFICIO|A PIE|A PIE|-|VENEZUELA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809720|27/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|0:00:00|CAJERO AUTOMATICO|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809721|27/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|18:40:00|VIAS PUBLICAS|A PIE|A PIE|25|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809722|27/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|9:40:00|VIAS PUBLICAS|BICICLETA|BICICLETA|20|COLOMBIA|EMPLEADO PARTICULAR|-|SECUNDARIA|11001000
1425809723|27/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|9:15:00|VIAS PUBLICAS|A PIE|A PIE|32|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809724|27/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|7:10:00|VIAS PUBLICAS|A PIE|A PIE|34|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|TECNICO|11001000
1425809725|27/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|15:05:00|ESTABLECIMIENTO PUBLICO|A PIE|A PIE|32|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809726|27/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|14:07:00|VIAS PUBLICAS|A PIE|A PIE|20|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809727|28/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Domingo|8:00:00|VIAS PUBLICAS|A PIE|A PIE|47|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|PRIMARIA|11001000
1425809728|28/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Domingo|20:30:00|VIAS PUBLICAS|A PIE|A PIE|34|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|TECNICO|11001000
1425809729|28/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Domingo|2:00:00|APARTAMENTO|A PIE|CONDUCTOR VEHICULO|69|COLOMBIA|EMPLEADO PARTICULAR|INGENIERÍA INDUSTRIAL|SUPERIOR|11001000
1425809730|28/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Domingo|10:30:00|VIAS PUBLICAS|A PIE|A PIE|41|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809731|28/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Domingo|1:00:00|VIAS PUBLICAS|A PIE|A PIE|30|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809732|28/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Domingo|17:30:00|VIAS PUBLICAS|A PIE|A PIE|27|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809733|28/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Domingo|17:30:00|VIAS PUBLICAS|A PIE|A PIE|32|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|TECNICO|11001000
1425809734|28/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Domingo|13:00:00|VIAS PUBLICAS|A PIE|A PIE|36|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|TECNICO|11001000
1425809735|28/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Domingo|21:30:00|CICLO RUTA|BICICLETA|BICICLETA|29|COLOMBIA|INDEPENDIENTE|INGENIERÍA DE SISTEMAS CON ENFASIS EN SOFTWARE|SUPERIOR|11001000
1425809736|28/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Domingo|4:00:00|VIAS PUBLICAS|CONDUCTOR TAXI|PASAJERO TAXI|29|COLOMBIA|EMPLEADO PARTICULAR|INGENIERÍA AMBIENTAL|SUPERIOR|11001000
1425809737|28/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Domingo|16:30:00|OTRO|A PIE|A PIE|38|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809738|28/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Domingo|0:00:00|VIAS PUBLICAS|A PIE|A PIE|40|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809739|29/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|8:00:00|VIAS PUBLICAS|A PIE|A PIE|38|VENEZUELA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809740|29/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|11:30:00|VIAS PUBLICAS|A PIE|A PIE|84|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|PRIMARIA|11001000
1425809741|29/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|11:30:00|ESTABLECIMIENTO DE COMERCIO|A PIE|A PIE|31|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809742|29/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|7:30:00|BUS TRANSMILENIO|A PIE|A PIE|36|COLOMBIA|INDEPENDIENTE|FONOAUDIOLOGIA|SUPERIOR|11001000
1425809743|29/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|14:00:00|VIAS PUBLICAS|A PIE|A PIE|33|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809744|29/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|14:00:00|VIAS PUBLICAS|A PIE|A PIE|43|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809745|29/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|1:00:00|VIAS PUBLICAS|A PIE|A PIE|41|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809746|29/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|13:00:00|BAHIA|A PIE|A PIE|23|COLOMBIA|ESTUDIANTE|NEGOCIOS INTERNACIONALES|SUPERIOR|11001000
1425809747|29/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|8:30:00|VIAS PUBLICAS|A PIE|A PIE|36|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809748|29/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|0:00:00|VIAS PUBLICAS|A PIE|A PIE|26|VENEZUELA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809749|29/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|0:00:00|VIAS PUBLICAS|A PIE|A PIE|28|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|TECNICO|11001000
1425809750|29/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|0:00:00|VIAS PUBLICAS|A PIE|A PIE|34|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809751|29/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|0:00:00|OTRO|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809752|29/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|0:00:00|OTRO|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809753|29/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|0:00:00|EDIFICIO|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809754|29/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|13:30:00|FRENTE A RESIDENCIAS - VIA PUBLICA|CONDUCTOR MOTOCICLETA|CONDUCTOR VEHICULO|26|COLOMBIA|EMPLEADO PARTICULAR|MERCADEO PUBLICIDAD Y VENTAS|SECUNDARIA|11001000
1425809755|29/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|9:50:00|VIAS PUBLICAS|A PIE|A PIE|33|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809756|29/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|13:45:00|VIAS PUBLICAS|PASAJERO MOTOCICLETA|A PIE|57|COLOMBIA|EMPLEADO PARTICULAR|INGENIERÍA DE SISTEMAS|SUPERIOR|11001000
1425809757|29/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|10:35:00|ESTACION DE ARTICULADO|A PIE|A PIE|53|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809758|29/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|18:34:00|VIAS PUBLICAS|A PIE|A PIE|64|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809759|30/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|19:00:00|CALLEJÓN|A PIE|A PIE|22|COLOMBIA|EMPLEADO PARTICULAR|INGENIERÍA CIVIL|TECNICO|11001000
1425809760|30/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|19:00:00|VIAS PUBLICAS|A PIE|A PIE|34|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809761|30/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|10:00:00|VIAS PUBLICAS|A PIE|A PIE|31|VENEZUELA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809762|30/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|11:30:00|VIAS PUBLICAS|A PIE|A PIE|28|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809763|30/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|21:00:00|VIAS PUBLICAS|A PIE|A PIE|48|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|TECNICO|11001000
1425809764|30/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|7:30:00|VIAS PUBLICAS|A PIE|A PIE|18|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809765|30/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|7:30:00|VIAS PUBLICAS|A PIE|A PIE|20|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809766|30/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|16:00:00|VIAS PUBLICAS|A PIE|CONDUCTOR VEHICULO|28|COLOMBIA|INDEPENDIENTE|-|SUPERIOR|11001000
1425809767|30/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|17:30:00|ESTACION TRANSMILENIO GRANJA - CARRERA 77|PASAJERO BUS|PASAJERO BUS|42|COLOMBIA|EMPLEADO PARTICULAR|ADMINISTRACION  DE EMPRESAS|TECNICO|11001000
1425809768|30/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|0:00:00|VIAS PUBLICAS|A PIE|A PIE|30|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809769|30/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|0:00:00|OTRO|A PIE|A PIE|21|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809770|30/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|0:00:00|OTRO|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809771|30/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|0:00:00|OTRO|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809772|30/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|0:00:00|EDIFICIO|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809773|30/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|14:30:00|ESTABLECIMIENTO PUBLICO|A PIE|A PIE|29|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809774|30/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|23:00:00|VIAS PUBLICAS|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809775|30/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|0:30:00|VIAS PUBLICAS|A PIE|A PIE|58|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809776|30/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|8:40:00|VIAS PUBLICAS|A PIE|A PIE|34|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809777|30/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|8:10:00|VIAS PUBLICAS|A PIE|A PIE|29|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809778|30/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|20:10:00|VIAS PUBLICAS|A PIE|A PIE|-|COLOMBIA|NO REPORTA|-|-|11001000
1425809779|30/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|8:50:00|VIAS PUBLICAS|A PIE|A PIE|42|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809780|30/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|0:20:00|VIAS PUBLICAS|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809781|31/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|19:00:00|VIAS PUBLICAS|A PIE|A PIE|29|VENEZUELA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809782|31/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|10:30:00|VIAS PUBLICAS|CONDUCTOR MOTOCICLETA|A PIE|58|COLOMBIA|INDEPENDIENTE|INGENIERÍA INDUSTRIAL|SUPERIOR|11001000
1425809783|31/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|15:00:00|VIAS PUBLICAS|A PIE|A PIE|53|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809784|31/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|16:30:00|VIAS PUBLICAS|A PIE|A PIE|34|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809785|31/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|0:00:00|OTRO|A PIE|A PIE|54|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809786|31/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|0:30:00|VIAS PUBLICAS|A PIE|A PIE|41|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
